layer,neuron_index,activation,feature_type
3,154,0.4444029927253723,travel
3,373,0.4314239382743835,travel
2,1600,0.4302416414022446,travel
3,824,0.4276862680912018,travel
3,1459,0.4273393630981445,travel
2,946,0.4079454123973846,travel
3,1411,0.4050711810588837,travel
3,1893,0.3960236430168152,travel
3,786,0.388631010055542,travel
3,688,0.3876597493886947,travel
3,2012,0.357455638051033,travel
3,765,0.348562479019165,travel
3,1528,0.3470165073871613,travel
3,818,0.3467418313026428,travel
3,411,0.3396913096308708,travel
3,1470,3.0340546131134034,tech
0,1122,1.7638067483901978,tech
3,1665,1.745986175537109,tech
1,1369,1.6997318983078002,tech
2,1680,1.655888295173645,tech
3,1237,1.2221826314926147,tech
3,2038,1.0647172689437867,tech
2,958,0.8188018918037414,tech
3,411,0.7778753221035004,tech
3,918,0.7403466284275055,tech
1,1055,0.7020466685295105,tech
2,229,0.6862541556358337,tech
3,597,0.6737064182758331,tech
3,108,0.648420536518097,tech
3,782,0.645390385389328,tech
2,1199,0.6364757478237152,tech
3,34,0.6014771342277527,tech
3,83,0.5769990921020508,tech
3,1550,0.5711060464382172,tech
3,1250,0.5672122359275817,tech
3,30,0.566706532239914,tech
1,823,0.5584711134433746,tech
3,1279,0.5457860976457596,tech
3,454,0.5226728200912476,tech
3,1150,0.5197715044021607,tech
3,577,0.516170346736908,tech
2,711,0.5141106069087982,tech
3,1433,0.5072363078594208,tech
3,995,0.5050975441932678,tech
3,659,0.5032005965709686,tech
3,967,0.5024314969778061,tech
2,2005,0.4969893217086792,tech
3,786,0.4897739708423614,tech
2,946,0.4706265270709991,tech
3,154,0.469201385974884,tech
3,230,0.4685141757130623,tech
3,68,0.4656394004821777,tech
3,818,0.4653980910778045,tech
3,688,0.4516208469867706,tech
3,765,0.449568098783493,tech
3,757,0.4463202476501465,tech
3,664,0.4440741956233978,tech
3,1589,0.4424276709556579,tech
3,877,0.4229689329862595,tech
2,1884,0.4170811057090759,tech
3,1037,0.4096007853746414,tech
3,1213,0.4085162967443466,tech
3,1190,0.4062518000602722,tech
3,264,0.4057760410010814,tech
3,373,0.4052900910377502,tech
3,1237,2.2189783334732054,python_pr
3,95,1.7827681303024292,python_pr
3,30,1.5665398836135864,python_pr
3,1665,1.55574734210968,python_pr
3,1470,1.5508054852485658,python_pr
0,1122,1.5422817468643188,python_pr
